"","gvkey","key_id"
"1087",5399,"Vl9"
"1088",5404,"M7T"
"1089",5419,"y0w"
"1090",5420,"h2o"
"1091",5421,"Fzb"
"1092",5422,"Jpp"
"1093",5432,"vZI"
"1094",5433,"Ad3"
"1095",5448,"2eP"
"1096",5451,"NuT"
"1097",5454,"nea"
"1098",5456,"hMp"
"1099",5458,"SIk"
"1100",5460,"Alc"
"1101",5463,"mUX"
"1102",5464,"rKH"
"1103",5465,"y59"
"1104",5479,"fIL"
"1105",5485,"u08"
"1106",5492,"IJ2"
"1107",5496,"SAW"
"1108",5505,"KGd"
"1109",5513,"Ejg"
"1110",5518,"1D7"
"1111",5519,"e66"
"1112",5520,"ARN"
"1113",5523,"1sn"
"1114",5528,"wvn"
"1115",5530,"9j1"
"1116",5533,"mlI"
"1117",5539,"KO8"
"1118",5545,"kpy"
"1119",5546,"1Ku"
"1120",5549,"wLh"
"1121",5554,"FJU"
"1122",5555,"1Uu"
"1123",5557,"wu1"
"1124",5558,"qRf"
"1125",5559,"CIl"
"1126",5560,"32E"
"1127",5561,"djD"
"1128",5564,"IUQ"
"1129",5565,"oOi"
"1130",5566,"Fkz"
"1131",5567,"jnB"
"1132",5568,"N6i"
"1133",5569,"2Q1"
"1134",5572,"32u"
"1135",5574,"9Nb"
"1136",5578,"0Sc"
"1137",5579,"VIz"
"1138",5581,"b65"
"1139",5583,"vnX"
"1140",5587,"Aaf"
"1141",5589,"jZZ"
"1142",5594,"OIv"
"1143",5597,"qsw"
"1144",5599,"Mkf"
"1145",5606,"LkH"
